"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 25 16:42:31 EET 2022","Fri Nov 25 16:43:25 EET 2022","54274","Basic Suite","ttPay_POM","Verified.YeniKisiOlusturduktanSonraParaIsteTest","Verified.YeniKisiOlusturduktanSonraParaIsteTest","YeniKisiOlusturVeParaGonder","YeniKisiOlusturVeParaGonder","Yeni Kişi ekledikten sonra Para Gönderme senaryosu"
"passed","Fri Nov 25 15:38:40 EET 2022","Fri Nov 25 15:38:47 EET 2022","6969","Command line suite","Command line test","SemiVerified.KampanyalarTest","SemiVerified.KampanyalarTest","Step2","Step2","Kampanyaları görüntüleme testi."
"passed","Wed Nov 30 15:41:37 EET 2022","Wed Nov 30 15:41:56 EET 2022","19687","Default Suite","ttPay_POM","Register.RegisterYanlisOTPTest","Register.RegisterYanlisOTPTest","RegisterYanlisOTP","RegisterYanlisOTP","Sisteme Yanlış OTP ile yeni kullanıcı kaydetme senaryosu."
"passed","Fri Nov 25 16:40:23 EET 2022","Fri Nov 25 16:40:56 EET 2022","32601","Basic Suite","ttPay_POM","Verified.SifreGuncelleTest","Verified.SifreGuncelleTest","SifreGuncelle","SifreGuncelle","Şifre güncelleme testi. (Şifreyi güncellemez ekranı açar)"
"passed","Fri Nov 25 15:26:06 EET 2022","Fri Nov 25 15:26:38 EET 2022","32904","Command line suite","Command line test","Basic.YeniKisiOlusturduktanSonraParaGonderTest","Basic.YeniKisiOlusturduktanSonraParaGonderTest","YeniKisiOlusturVeParaGonder","YeniKisiOlusturVeParaGonder","Para Gönderme senaryosu"
"passed","Fri Nov 25 15:16:09 EET 2022","Fri Nov 25 15:16:35 EET 2022","25897","Command line suite","Command line test","Basic.GrupOlusturTest","Basic.GrupOlusturTest","GrupOlustur","GrupOlustur","Para Gönderme senaryosu"
"passed","Fri Nov 25 16:57:07 EET 2022","Fri Nov 25 16:57:53 EET 2022","45294","Default Suite","ttPay_POM","Verified.KisiDetayIncelemeTest","Verified.KisiDetayIncelemeTest","KisiDetayInceleme","KisiDetayInceleme","Kişi Detay İnceleme"
"passed","Fri Nov 25 17:11:27 EET 2022","Fri Nov 25 17:11:57 EET 2022","29958","Basic Suite","ttPay_POM","SemiVerified.KampanyalarTest","SemiVerified.KampanyalarTest","LoginAndCheckCampaigns","LoginAndCheckCampaigns","Kampanyaları kontrol testi."
"passed","Fri Nov 25 17:44:17 EET 2022","Fri Nov 25 17:44:53 EET 2022","36013","Default Suite","ttPay_POM","SemiVerified.ParaGonderTest","SemiVerified.ParaGonderTest","LoginAndClickParaGonder","LoginAndClickParaGonder","Para Gönderme senaryosu"
"passed","Fri Nov 25 16:35:12 EET 2022","Fri Nov 25 16:35:49 EET 2022","36236","Basic Suite","ttPay_POM","Verified.KrediBankaKartiEkleTest","Verified.KrediBankaKartiEkleTest","KrediBankaKartiEkle","KrediBankaKartiEkle","Kredi Banka Kartı Ekleme testi."
